ZPID,Address,City,State,Price,Monthly Rent,Monthly Tax,Monthly Cash Flow,ROI %,MLS ID
3046753,"1346 Fernwood Dr, Jackson, MS 39213","Jackson",MS,60000,1296,84,773,154.52,4140856
88669188,"13150 Glenfield St, Detroit, MI 48213","Detroit",MI,59300,1253,65,751,152.04,20251059198
54450786,"2764 Shell Bark Rd, Decatur, GA 30035","Decatur",GA,79000,1712,187,994,150.92,10716264
343948909,"0 Parkburg Rd Lot 11, Pinson, TN 38366","Pinson",TN,47000,988,20,591,150.78,240953
343949303,"0 Parkburg Rd Lot 10, Pinson, TN 38366","Pinson",TN,47000,988,20,591,150.78,240947
343949727,"0 Parkburg Rd Lot 12, Pinson, TN 38366","Pinson",TN,47000,988,20,591,150.78,240956
2067845005,"42 Ridgewood Road, Sparta, NC 28675","Sparta",NC,37500,896,19,471,150.74,260939
2067845008,"41 Ridgewood Road, Sparta, NC 28675","Sparta",NC,37500,895,19,470,150.42,260936
2067845095,"38 Ridgewood Road, Sparta, NC 28675","Sparta",NC,37500,895,19,470,150.42,260934
88165922,"18954 Beland St, Detroit, MI 48234","Detroit",MI,59900,1230,44,746,149.5,20261019333
247564223,"42 Greenbriar Ave, Burneyville, OK 73430","Burneyville",OK,119000,2673,188,1478,149.04,2607252
2064459952,"4729 Wild Plum Ct #112, Memphis, TN 38118","Memphis",TN,60000,1233,48,745,149.02,10216089
93971128,"203 1st St NE, Rake, IA 50465","Rake",IA,39900,860,25,492,148.09,260201
210220230,"1881 Kitchens Rd, Macon, GA 31211","Macon",GA,52900,1087,38,644,146.07,260749
85715679,"2 N Pearl St, Knox, IN 46534","Knox",IN,69000,1507,186,837,145.62,834186
109470806,"1207 Highland Ave, Selma, AL 36703","Selma",AL,47500,1016,62,575,145.23,585708
88743380,"20255 Santa Rosa Dr, Detroit, MI 48221","Detroit",MI,55000,1151,72,664,144.82,20261023708
52953607,"103 SW 3rd St, Webster, FL 33597","Webster",FL,55000,1140,63,661,144.26,TB8469787
118591467,"3026 Hilltop Rd, Granbury, TX 76048","Granbury",TX,119900,2275,105,1433,143.38,21184130
2085658676,"5790 Scottdale Rd, Saint Joseph, MI 49085","Saint Joseph",MI,74900,1470,69,889,142.51,26014000
93880171,"100 N 6th St, Patterson, IA 50218","Patterson",IA,90000,1852,202,1065,141.98,732941
946172,"3664 43rd Ave N, Birmingham, AL 35207","Birmingham",AL,65000,1269,40,765,141.26,21443948
26224157,"1315 ALAMETOS, San Antonio, TX 78201","San Antonio",TX,165000,3580,693,1940,141.07,1820609
51333374,"200 E Herndon St, Shreveport, LA 71101","Shreveport",LA,67500,1305,42,787,139.96,20294293
77954912,"2009 North St, Gulfport, MS 39507","Gulfport",MS,95000,1790,79,1102,139.21,4128653
338170051,"2020 Trinity Pines Dr, Hayfork, CA 96041","Hayfork",CA,69000,1375,93,798,138.85,2112312
102617232,"887 1st Avenue S, Okanogan, WA 98840","Okanogan",WA,89000,1673,68,1025,138.17,2477545
88188680,"18712 Waltham St, Detroit, MI 48205","Detroit",MI,65000,1250,48,738,136.32,20261017457
94587501,"8921 S Main St, Ora, IN 46968","Ora",IN,64000,1252,71,721,135.25,834189
2056820209,"861X Copper Sunset Trl, Mayer, AZ 86333","Mayer",AZ,75000,1378,24,842,134.7,1080906
191797397,"4420 S Arizona Cir, Fort Mohave, AZ 86426","Fort Mohave",AZ,84900,1547,35,952,134.6,037698
231070105,"188 Broadlands Dr, Eatonton, GA 31024","Eatonton",GA,100000,1968,46,1122,134.6,10727119
461359845,"2985 Mercer University Dr #2, Macon, GA 31204","Macon",GA,60000,1158,48,671,134.12,183747
946562,"4304 Gadsden St, Birmingham, AL 35217","Birmingham",AL,47000,953,54,522,133.38,21448155
2077415788,"746 Arbolada Dr, Coulterville, CA 95311","Coulterville",CA,95000,1745,82,1054,133.2,226040619
401787067,"3300 15th St W Space 383, Rosamond, CA 93560","Rosamond",CA,119900,2177,125,1323,132.39,26001452
47445771,"147 2ND Way, Interlachen, FL 32148","Interlachen",FL,60000,1162,64,658,131.55,2131163
118063184,"12 Road 6264, Kirtland, NM 87417","Kirtland",NM,49888,938,1,546,131.29,26-165
193659844,"304 W Trilby St, Wrightsville, GA 31096","Wrightsville",GA,69000,1249,18,747,129.97,10457226
94588167,"101 S Hamlet St, Hamlet, IN 46532","Hamlet",IN,64000,1181,30,692,129.69,834184
194069056,"281 Kimmes Ln, Breckenridge, CO 80424","Breckenridge",CO,221000,3937,249,2349,127.53,S1056602
460701363,"1015 Westlake Blvd, Bessemer, AL 35020","Bessemer",AL,73900,1329,38,784,127.37,21444636
42200715,"2811 Ketchum Rd, Memphis, TN 38114","Memphis",TN,89900,1642,107,951,126.9,10204479
91291520,"519 E Harvey Ave, Wellington, KS 67152","Wellington",KS,55000,1075,78,581,126.74,667186
2056820208,"860X Copper Sunset Trl, Mayer, AZ 86333","Mayer",AZ,75000,1327,24,791,126.54,1080907
19088765,"6380 15th Avenue, Lucerne, CA 95458","Lucerne",CA,65000,1205,56,685,126.52,326030176
460955717,"840 N Broad St, New Orleans, LA 70119","New Orleans",LA,99000,1761,89,1044,126.5,2546581
120581696,"348 Arthur St, Montgomery, AL 36107","Montgomery",AL,54900,1012,23,574,125.42,568707
42142558,"1694 Walker Ave, Memphis, TN 38114","Memphis",TN,129900,2275,140,1357,125.37,10213614
73409788,"627 Tennessee St, Gary, IN 46402","Gary",IN,80000,1448,79,832,124.87,833327
78813853,"2512 Bridge St, Gatesville, TX 76528","Gatesville",TX,70000,1302,86,728,124.77,21146462
2082880945,"50 Duchess Creek Dr, Porum, OK 74455","Porum",OK,55000,1013,27,570,124.41,2612548
105601349,"1428 N Main St, Lewistown, IL 61542","Lewistown",IL,49900,985,79,515,123.89,PA1262055
88325532,"20161 Yonka St, Detroit, MI 48234","Detroit",MI,69800,1264,68,709,121.84,20251059150
72341786,"1410 W Flamingo Ave Trailer 49, Nampa, ID 83651","Nampa",ID,79900,1405,63,806,120.99,98977730
2062317287,"3771 S Deer Valley Dr #151, Magna, UT 84044","Magna",UT,55000,2100,22,553,120.61,2147529
344603640,"324 Truax LOT 19, San Antonio, TX 78204","San Antonio",TX,78000,1423,115,781,120.17,1955619
50385291,"4150 Crow Rd APT 4, Beaumont, TX 77706","Beaumont",TX,92000,1680,167,918,119.75,264918
77996369,"112 31st St, Gulfport, MS 39507","Gulfport",MS,67500,1200,52,671,119.36,4128322
2079869247,"10 Vista De Oro, Placitas, NM 87043","Placitas",NM,119900,2013,76,1190,119.08,1101260
85203574,"2520 S Andrews Rd, Yorktown, IN 47396","Yorktown",IN,79900,1412,85,791,118.84,22079759
105164810,"201 Beetree Ave, Nashville, GA 31639","Nashville",GA,79000,1348,36,780,118.52,148329
245807950,"26 N 4th St, Mc Gill, NV 89318","Mc Gill",NV,59900,1143,118,585,117.23,2767085
2084937713,"2274 W Henderson Avenue, Porterville, CA 93257","Porterville",CA,75000,1304,69,723,115.66,240779
7365703,"4965 E Allen Ave, Flagstaff, AZ 86004","Flagstaff",AZ,135000,2123,21,1300,115.56,203934
7315828,"320 Brownlee Ln, Sun Valley, NV 89433","Sun Valley",NV,159000,2472,34,1520,114.7,11637490
103377328,"706 SW 21st St, Cape Coral, FL 33991","Cape Coral",FL,108500,1800,95,1031,113.99,A4687977
235411061,"2444 Crooked Road, Pagosa Springs, CO 81147","Pagosa Springs",CO,100000,1618,51,934,112.1,832909
443660889,"807 County Road 6, Renville, MN 56284","Renville",MN,75000,1274,64,698,111.66,6720071
88336925,"4224 W Davison, Detroit, MI 48238","Detroit",MI,74800,1260,63,686,110.02,20251059159
77999534,"2535 Tandy Dr, Gulfport, MS 39503","Gulfport",MS,86000,1425,74,786,109.62,4126578
19089739,"12860 2nd St, Clearlake Oaks, CA 95423","Clearlake Oaks",CA,73000,1227,61,663,108.98,LC26031809
113034127,"325 Morse Ave, Stinnett, TX 79083","Stinnett",TX,50000,906,62,452,108.52,25-5316
72813298,"530 5th St, Montgomery, AL 36110","Montgomery",AL,88999,1401,23,798,107.56,21449321
50405541,"7570 Tall Pine St, Beaumont, TX 77713","Beaumont",TX,78000,1242,18,697,107.24,265714
230728740,"1349 Point Mountain Rd, Webster Springs, WV 26288","Webster Springs",WV,65000,1064,22,578,106.65,10162995
2086205681,"69 Mill Street, Harrington, ME 04643","Harrington",ME,130000,2054,121,1155,106.58,1644054
246308499,"651 S Snowflake Ln, Brian Head, UT 84719","Brian Head",UT,110000,2136,180,975,106.35,114147
50393863,"1317 Rev Raymond Scott Ave, Port Arthur, TX 77640","Port Arthur",TX,79900,1412,178,698,104.89,253759
66069470,"145 Echo Rd, Glocester, RI 02814","Glocester",RI,149900,2364,188,1302,104.25,1409695
76143930,"334 S 21st St, West Memphis, AR 72301","West Memphis",AR,108000,1635,30,934,103.74,46250
461545269,"12257 W Jeffries Fwy, Detroit, MI 48204","Detroit",MI,55000,974,84,474,103.51,20261022461
85133139,"732 Barclay St, Logansport, IN 46947","Logansport",IN,65000,1070,45,561,103.48,202604607
2089403212,"0 XXX Game Trail Road, Cle Elum, WA 98922","Cle Elum",WA,179000,2676,106,1522,102.05,2497275
26228748,"230 CHICKERING AVE, San Antonio, TX 78210","San Antonio",TX,75000,1307,166,629,100.65,1939374
109234755,"4641 Saddle Ridge Dr SE, Owens Cross Roads, AL 35763","Owens Cross Roads",AL,100000,1539,67,839,100.64,1789721
95504196,"42474 Garnet Ln, Shaver Lake, CA 93664","Shaver Lake",CA,139888,2215,222,1167,100.1,646765
22731797,"607 Palatine Ave, Fairmont, WV 26554","Fairmont",WV,59000,1057,132,490,99.57,10162609
50776289,"400 E Cotton St, Longview, TX 75601","Longview",TX,149000,2306,207,1229,99,21136456
24938605,"828 Olivina Ave APT 11, Livermore, CA 94551","Livermore",CA,169888,2392,22,1399,98.82,41129132
2055821281,"1 George Walter Rd, Bolivar, TN 38008","Bolivar",TN,49000,806,27,393,96.18,10218511
70143458,"718 W Harrison St, Reidsville, NC 27320","Reidsville",NC,99900,1474,43,799,95.93,10081227
2058678976,"1537-1557 Braley Rd N #10, Youngstown, NY 14174","Youngstown",NY,72900,1212,128,582,95.74,B1669926
2098541374,"0 Morning Dove Trl, Alice, TX 78332","Alice",TX,70000,1118,73,557,95.47,473950
448036419,"324 Avenue N, Beaver, OK 73932","Beaver",OK,85000,1348,112,675,95.36,1210895
200677372,"2013 32nd Ave, Gulfport, MS 39501","Gulfport",MS,90000,1386,88,713,95.12,4132137
247800996,"103 B Ave, Seneca, OR 97873","Seneca",OR,99000,1434,24,782,94.79,220214299
216784310,"1448 County Road 1344, Chickasha, OK 73018","Chickasha",OK,139500,2091,148,1102,94.77,1219279
230515439,"61 Fairview Rd, Andrews, NC 28901","Andrews",NC,175000,2473,102,1376,94.35,157982
174736152,"611 16th St N, Bessemer, AL 35020","Bessemer",AL,66700,1067,77,517,93.08,21441880
88591710,"16155 Trinity St, Detroit, MI 48219","Detroit",MI,80000,1303,146,620,93.06,20261023516
232932117,"2804 Highway 568, Ferriday, LA 71334","Ferriday",LA,73000,1131,63,566,93,11587888
88267393,"16176 Tracey St, Detroit, MI 48235","Detroit",MI,89900,1333,52,696,92.95,20251058606
2058863713,"Us Highway 270, Heavener, OK 74937","Heavener",OK,60600,941,33,465,92.16,11687967
108424200,"6400 E Sundew Marsh Trl, Panama City Beach, FL 32413","Panama City Beach",FL,215000,3007,130,1638,91.45,787770
78907767,"1603 Speedway Ave, Wichita Falls, TX 76301","Wichita Falls",TX,55000,974,144,415,90.49,21145563
243774560,"Tower Rd, Brodnax, VA 23920","Brodnax",VA,99900,1389,8,748,89.89,141939
336116048,"402 N 3rd St, Crowell, TX 79227","Crowell",TX,55000,881,54,411,89.71,21160997
17483673,"13331 Holly St, Trona, CA 93562","Trona",CA,129999,1927,178,970,89.58,SW26039490
42130008,"32 N Belvedere Blvd APT 10, Memphis, TN 38104","Memphis",TN,72000,1104,70,536,89.4,10211061
77996954,"2801 Gulf Ave, Gulfport, MS 39501","Gulfport",MS,80000,1182,50,596,89.37,4125764
261564,"209 Cross St, Ward, AR 72176","Ward",AR,109500,1569,79,811,88.87,26004201
81797271,"8997 Cambria CIR #2002, Naples, FL 34113","Naples",FL,375000,6392,238,2775,88.79,225072126
52463877,"64625 Pierson Blvd Space A20, Desert Hot Springs, CA 92240","Desert Hot Springs",CA,149000,1974,8,1096,88.3,219143045DA
77992659,"120 Carson Dr, Gulfport, MS 39503","Gulfport",MS,85000,1236,57,619,87.33,4126634
15961487,"1210 Cacique St Space 14, Santa Barbara, CA 93103","Santa Barbara",CA,275000,3761,245,1987,86.71,26-421
452132124,"1712 Manor Pl, Dayton, OH 45406","Dayton",OH,84900,1285,118,607,85.75,956703
213376313,"8494 Pansy Ave, San Angelo, TX 76901","San Angelo",TX,79000,1120,24,564,85.72,200200
91543562,"57 Sabio Way, Chelan, WA 98816","Chelan",WA,160000,2234,95,1141,85.59,2500684
88391230,"10785 E Outer Dr, Detroit, MI 48224","Detroit",MI,75000,1118,78,528,84.47,20261017448
22093329,"11201 S Edgewater Rd, Claremore, OK 74017","Claremore",OK,125000,1731,99,878,84.28,2611962
77996942,"2811 Gulf Ave, Gulfport, MS 39501","Gulfport",MS,80000,1144,47,561,84.13,4125759
84104015,"109 County Route 28, Altmar, NY 13302","Altmar",NY,49900,841,102,348,83.6,R1672668
77952887,"731 Carter Dr, Gulfport, MS 39507","Gulfport",MS,130000,1792,110,904,83.44,4128781
449851944,"22 Olive Ave, Lakewood, NY 14750","Lakewood",NY,85000,1296,149,587,82.81,R1657811
77999490,"2537 W David Dr, Gulfport, MS 39503","Gulfport",MS,100000,1393,72,688,82.59,4126017
36861240,"7023 Edgemont Rd, Frederick, MD 21702","Frederick",MD,200000,2840,298,1376,82.53,MDFR2077792
45501367,"530 Sun Up St, North Fort Myers, FL 33917","North Fort Myers",FL,119900,1809,77,823,82.36,P4937633
457102211,"589 Altidore Ave, Dale, TX 78616","Dale",TX,134900,1934,209,923,82.15,610115
79227685,"2013 Saint Denis Ave, Norfolk, VA 23509","Norfolk",VA,150000,2126,225,1027,82.13,10623369
51331202,"9304 Simpson Rd, Shreveport, LA 71129","Shreveport",LA,189900,2615,256,1291,81.59,21002955
54982793,"17776 Red Bud Ln APT 12, Shasta Lake, CA 96019","Shasta Lake",CA,59000,1494,3,399,81.23,26648625
442316514,"302 N Martin Luther King Jr Blvd, Wichita Falls, TX 76306","Wichita Falls",TX,80000,1114,38,540,80.99,175964
19463648,"18035 Mobley Springs Rd, Nevada City, CA 95959","Nevada City",CA,92000,1294,79,621,80.95,226041292
243688650,"569 Langtry St, Comstock, TX 78837","Comstock",TX,89000,1197,18,599,80.82,208165
460307394,"1278 N And South Rd Unit 1278, Saint Louis, MO 63130","Saint Louis",MO,115000,1814,110,773,80.68,26006333
77998505,"13412 Windridge Dr, Gulfport, MS 39503","Gulfport",MS,107000,1512,129,716,80.28,4127031
232813116,"345 N Oliver St, Elberton, GA 30635","Elberton",GA,149900,1972,105,993,79.46,10580936
70830118,"1203 Waldrop Pl, Decatur, GA 30034","Decatur",GA,89999,1590,162,593,79.1,7731329
247155855,"858 Hoke Ogden Rd, Odum, GA 31555","Odum",GA,180000,2299,94,1185,79.03,10700748
46358793,"5318 Astrid Dr, Zephyrhills, FL 33541","Zephyrhills",FL,89000,1241,39,584,78.74,TB8501184
2067844963,"50 Mountain Vista Drive, Sparta, NC 28675","Sparta",NC,56500,895,28,369,78.32,260941
48055468,"5408 Barhydt Ave, Port Orange, FL 32127","Port Orange",FL,140000,1862,125,910,78.04,1223609
206706368,"106 E Magnolia Ave, Electra, TX 76360","Electra",TX,79000,1050,6,512,77.83,21200838
29015449,"230 Hovenkamp St, Keller, TX 76248","Keller",TX,279500,3825,476,1799,77.23,21095632
87299021,"120 N Plum, Pearsall, TX 78061","Pearsall",TX,95000,1344,126,609,76.94,1945130
35085406,"804 Linden Ave, Dayton, OH 45410","Dayton",OH,99000,1342,80,634,76.82,953145
193800892,"301 Water St, Zapata, TX 78076","Zapata",TX,81500,1132,70,518,76.31,20260485
36521152,"1610 McHenry St, Baltimore, MD 21223","Baltimore",MD,135000,1677,18,857,76.18,MDBA2206598
