ZPID,Address,City,State,Price,Monthly Rent,1% Ratio,ROI %,Monthly Cash Flow,Down Payment,Monthly Mortgage,Monthly Tax,Monthly Insurance,MLS ID,Bedrooms,Bathrooms,Year Built,Property Type
2062517110,"2027 Sunset Ridge Rd, Blocksburg, CA 95514","Blocksburg",CA,217500,2164,0.99,40.96,742,21750,1051,171,200,270286,1,1,2022,"SINGLE_FAMILY"
2098996482,"1500 Hummingbird Ct APT 14, Pharr, TX 78577","Pharr",TX,140000,1408,1.01,27.35,319,14000,676,263,150,479459,2,3,2013,"TOWNHOUSE"
2098998311,"1500 Hummingbird Ct APT 11, Pharr, TX 78577","Pharr",TX,140000,1408,1.01,34.97,408,14000,676,174,150,479453,2,3,2013,"TOWNHOUSE"
338035763,"2020 Wooley Way, Seagoville, TX 75159","Seagoville",TX,237500,2361,0.99,38.4,760,23750,1147,223,200,21149038,4,4,2020,"SINGLE_FAMILY"
242826612,"406 W Velmer St, Dequincy, LA 70633","Dequincy",LA,124500,1253,1.01,44.41,461,12450,602,41,150,SWL25102389,3,2,2002,"SINGLE_FAMILY"
2060890740,"1120 Barkentine Dr Lot 332, New Bern, NC 28560","New Bern",NC,149500,1485,0.99,43.58,543,14950,722,70,150,10155720,0,0,0,"LOT"
104080650,"575 Dryden Cir, Cocoa, FL 32926","Cocoa",FL,279900,2818,1.01,27.89,651,27990,1352,569,200,1070945,4,3,2009,"SINGLE_FAMILY"
2064423249,"0 E Broadway Avenue Lot 1 -- #-, Apache Junction, AZ 85119","Apache Junction",AZ,169000,1702,1.01,47.62,671,16900,817,65,150,7005246,0,0,0,"LOT"
54926615,"25806 Cockleshell Dr #314, Bonita Springs, FL 34135","Bonita Springs",FL,225000,2234,0.99,18.7,351,22500,1087,46,200,2025012731,2,2,1980,"CONDO"
90245901,"707 N John St, Palestine, TX 75801","Palestine",TX,160000,1587,0.99,46.09,615,16000,773,49,150,103232,3,3,1900,"MULTI_FAMILY"
74437803,"367 Bridgewater Dr, Newport News, VA 23603","Newport News",VA,187950,1895,1.01,20.1,315,18795,908,223,150,10616630,2,3,1987,"TOWNHOUSE"
2098203082,"1500 Hummingbird Ct APT 1, Pharr, TX 78577","Pharr",TX,145000,1438,0.99,26.12,316,14500,701,272,150,479280,2,3,2013,"TOWNHOUSE"
225812438,"624 Sandy Beach Court, Warrens, WI 54666","Warrens",WI,184900,1833,0.99,36.91,569,18490,893,221,150,2019963,3,2,2004,"SINGLE_FAMILY"
225812439,"622 Sandy Beach Court, Warrens, WI 54666","Warrens",WI,184900,1833,0.99,36.77,567,18490,893,223,150,2019962,3,2,2004,"SINGLE_FAMILY"
225812440,"620 Sandy Beach Court, Warrens, WI 54666","Warrens",WI,184900,1833,0.99,36.77,567,18490,893,223,150,2019961,3,2,2004,"SINGLE_FAMILY"
225812442,"614 Sandy Beach Court, Warrens, WI 54666","Warrens",WI,184900,1833,0.99,36.77,567,18490,893,223,150,2019959,3,2,2004,"SINGLE_FAMILY"
112742370,"332410 E 1030th Rd, McLoud, OK 74851","McLoud",OK,150000,1487,0.99,38.91,486,15000,725,126,150,1222326,3,2,1920,"SINGLE_FAMILY"
319961264,"47 N Humble Ln, Ash Fork, AZ 86320","Ash Fork",AZ,194900,1930,0.99,49.5,804,19490,942,34,150,1063657,1,1,2020,"SINGLE_FAMILY"
42942756,"3221 NE 8th St APT 103, Pompano Beach, FL 33062","Pompano Beach",FL,314000,3109,0.99,15.36,402,31400,1517,337,200,A11956246,2,2,1969,"CONDO"
50400743,"4895 Belmont St, Beaumont, TX 77707","Beaumont",TX,156000,1576,1.01,33.23,432,15600,754,240,150,263763,3,2,0,"SINGLE_FAMILY"
16301248,"5315 Road 40, Alpaugh, CA 93201","Alpaugh",CA,145000,1465,1.01,45.96,555,14500,701,59,150,202602538,2,1,1948,"SINGLE_FAMILY"
114518755,"1604 Del Norte Blvd, Grants, NM 87020","Grants",NM,134500,1359,1.01,40.14,450,13450,650,109,150,20246781,3,2,1960,"SINGLE_FAMILY"
26380803,"13614 Primwood, San Antonio, TX 78233","San Antonio",TX,179900,1779,0.99,29.8,447,17990,869,313,150,1927300,3,2,1980,"SINGLE_FAMILY"
226209551,"223 S Market St, Union City, OH 45390","Union City",OH,89900,889,0.99,38.26,287,8990,434,18,150,948275,2,1,1900,"SINGLE_FAMILY"
442585690,"1114 Pinder Ln, Dequincy, LA 70633","Dequincy",LA,134500,1329,0.99,41.31,463,13450,650,66,150,SWL25102391,3,2,2002,"SINGLE_FAMILY"
90755231,"507 W North St, Heber Springs, AR 72543","Heber Springs",AR,145000,1468,1.01,50.63,612,14500,701,6,150,26004992,3,2,1971,"SINGLE_FAMILY"
78826142,"4311 Gordon St, Greenville, TX 75401","Greenville",TX,179000,1767,0.99,25.58,382,17900,865,371,150,21118166,3,2,1965,"SINGLE_FAMILY"
442599924,"1112 Pinder Ln, Dequincy, LA 70633","Dequincy",LA,134500,1327,0.99,41.13,461,13450,650,66,150,SWL25102390,3,2,2002,"SINGLE_FAMILY"
94188164,"102 Utah St, Portsmouth, VA 23701","Portsmouth",VA,269000,2727,1.01,37.41,839,26900,1300,389,200,10612841,3,3,2008,"SINGLE_FAMILY"
87318884,"200 NE Alpine Dr, Plainview, TX 79072","Plainview",TX,169500,1670,0.99,30.89,436,16950,819,265,150,26-27,4,2,0,"SINGLE_FAMILY"
74457310,"223 Sycamore Ave, Newport News, VA 23607","Newport News",VA,225000,2288,1.02,38.58,723,22500,1087,278,200,10616631,4,3,1920,"SINGLE_FAMILY"
50806056,"3103 SW 27th Ave, Amarillo, TX 79109","Amarillo",TX,169900,1670,0.98,30.35,430,16990,821,269,150,26-2999,2,2,1978,"SINGLE_FAMILY"
211719688,"128 W Thompson Rd, Payson, AZ 85541","Payson",AZ,185000,1818,0.98,48.26,744,18500,894,30,150,93760,1,1,1968,"MANUFACTURED"
26110163,"1021 cherry, San Antonio, TX 78202","San Antonio",TX,190000,1933,1.02,28.3,448,19000,918,417,150,1947516,3,1,1930,"SINGLE_FAMILY"
83559683,"121 Jones St, Mount Clemens, MI 48043","Mount Clemens",MI,220000,2161,0.98,35.11,644,22000,1063,254,200,20261022621,4,2,1935,"SINGLE_FAMILY"
442584583,"310 Coffee St, Dequincy, LA 70633","Dequincy",LA,124500,1268,1.02,43.88,455,12450,602,61,150,SWL25102379,3,2,2002,"SINGLE_FAMILY"
35830540,"1330 Allene Ave SW, Atlanta, GA 30310","Atlanta",GA,285000,2797,0.98,30.91,734,28500,1377,486,200,10695273,6,3,1920,"SINGLE_FAMILY"
27933544,"5326 Wenda St, Houston, TX 77033","Houston",TX,159000,1555,0.98,31.54,418,15900,768,219,150,10590484,3,2,1947,"SINGLE_FAMILY"
42797725,"14401 Front Beach Rd #403, Panama City Beach, FL 32413","Panama City Beach",FL,148000,1447,0.98,35.72,441,14800,715,141,150,785495,1,1,1965,"CONDO"
22001491,"4753 SE 17th St, Oklahoma City, OK 73115","Oklahoma City",OK,130000,1271,0.98,35.36,383,13000,628,110,150,1221258,3,1,1955,"SINGLE_FAMILY"
222885461,"914 Madison Ave, Tuscumbia, AL 35674","Tuscumbia",AL,85000,831,0.98,34.96,248,8500,411,23,150,527477,2,1,1950,"SINGLE_FAMILY"
97073441,"223 Sunset Dr, Alliance, NE 69301","Alliance",NE,159000,1626,1.02,41.63,552,15900,768,156,150,11627790,3,2,1946,"SINGLE_FAMILY"
1032344,"1015 Palmer Ave, Bessemer, AL 35020","Bessemer",AL,110000,1074,0.98,37.44,343,11000,531,49,150,21439470,3,1,1960,"SINGLE_FAMILY"
2101500494,"1500 Hummingbird Ct APT 6, Pharr, TX 78577","Pharr",TX,137500,1408,1.02,29.31,336,13750,664,258,150,479441,2,3,2013,"TOWNHOUSE"
52714607,"115 Which Way, Pharr, TX 78577","Pharr",TX,149000,1454,0.98,34.01,422,14900,720,137,150,492710,3,2,1997,"MANUFACTURED"
47311958,"212 Sunset Dr, Lake Alfred, FL 33850","Lake Alfred",FL,119000,1161,0.98,38.75,384,11900,575,52,150,L4960261,2,1,1972,"MANUFACTURED"
15967660,"2056 Highway 154 #14, Santa Ynez, CA 93460","Santa Ynez",CA,349000,3576,1.02,47.4,1379,34900,1686,311,200,26000162,2,2,1977,"MANUFACTURED"
42230119,"2662 Orman Ave, Memphis, TN 38127","Memphis",TN,125000,1281,1.02,39.95,416,12500,604,111,150,10212394,4,2,1964,"SINGLE_FAMILY"
72796327,"1950 Johnson St, Montgomery, AL 36110","Montgomery",AL,96500,989,1.02,43.73,352,9650,466,21,150,583138,3,1,1948,"SINGLE_FAMILY"
74099260,"1417 Gerry Dr, Jackson, MI 49202","Jackson",MI,182500,1871,1.03,44.54,677,18250,882,162,150,26003692,3,3,1970,"SINGLE_FAMILY"
28852090,"4730 Kendall Dr, Corpus Christi, TX 78415","Corpus Christi",TX,130000,1333,1.03,32.21,349,13000,628,206,150,474454,2,1,1949,"SINGLE_FAMILY"
968605,"312 E Ventura Dr, Birmingham, AL 35235","Birmingham",AL,123900,1271,1.03,38.78,400,12390,599,122,150,21447232,3,2,1952,"SINGLE_FAMILY"
244202503,"28472 Italian Bar Rd, Twain Harte, CA 95383","Twain Harte",CA,175000,1703,0.97,39.29,573,17500,845,134,150,20220879,2,1,1960,"SINGLE_FAMILY"
52093702,"3500 N 21st St, Waco, TX 76708","Waco",TX,160000,1555,0.97,20.14,268,16000,773,364,150,21229283,3,1,1929,"SINGLE_FAMILY"
104255489,"2439 Seameadows Dr, Perry, FL 32348","Perry",FL,138900,1429,1.03,43.04,498,13890,671,110,150,384129,2,1,2022,"SINGLE_FAMILY"
2098987146,"1500 Hummingbird Ct APT 16, Pharr, TX 78577","Pharr",TX,145000,1408,0.97,23.63,286,14500,701,272,150,479464,2,3,2013,"TOWNHOUSE"
2101500493,"1500 Hummingbird Ct APT 5, Pharr, TX 78577","Pharr",TX,145000,1408,0.97,23.63,286,14500,701,272,150,479438,2,3,2013,"TOWNHOUSE"
112318861,"1480 10th St NE, Paris, TX 75460","Paris",TX,115000,1184,1.03,40.48,388,11500,556,90,150,21172017,2,1,1950,"SINGLE_FAMILY"
109122169,"30 Sequoyah Ridge Rd, Cherokee Village, AR 72529","Cherokee Village",AR,139000,1347,0.97,44.71,518,13900,672,8,150,25035624,3,2,1991,"SINGLE_FAMILY"
87290657,"617 W Price St, Floydada, TX 79235","Floydada",TX,92200,893,0.97,35.32,271,9220,445,26,150,20983996,3,1,1955,"SINGLE_FAMILY"
447330300,"10530 Private Road 5207, Malakoff, TX 75148","Malakoff",TX,129900,1340,1.03,40.95,443,12990,628,119,150,21042347,1,1,2019,"SINGLE_FAMILY"
2076564435,"0 Highway 115, Clarkesville, GA 30523","Clarkesville",GA,124900,1209,0.97,37.47,390,12490,603,66,150,10729157,0,0,0,"LOT"
39818507,"15 E Griffith St, Penns Grove, NJ 08069","Penns Grove",NJ,245000,2371,0.97,29.55,603,24500,1184,384,200,NJSA2017774,4,2,1940,"SINGLE_FAMILY"
8807620,"13228 E 48th St, Yuma, AZ 85367","Yuma",AZ,119500,1156,0.97,39.64,395,11950,577,34,150,20261524,0,0,0,"LOT"
126988510,"608 W Alameda St, Roswell, NM 88203","Roswell",NM,105000,1085,1.03,45.38,397,10500,507,31,150,20261806,2,1,0,"SINGLE_FAMILY"
81493887,"1501 Lafayette St, Valparaiso, IN 46383","Valparaiso",IN,230000,2222,0.97,22.05,423,23000,1111,488,200,836398,3,2,1957,"SINGLE_FAMILY"
88337120,"1915 Ewald Cir, Detroit, MI 48238","Detroit",MI,139700,1445,1.03,46.69,543,13970,675,77,150,20251021380,3,2,1950,"SINGLE_FAMILY"
303759135,"1414 Spear St, Weslaco, TX 78596","Weslaco",TX,150000,1447,0.96,39.48,493,15000,725,79,150,501142,3,2,2020,"MANUFACTURED"
105062709,"802 4th St, Pepin, WI 54759","Pepin",WI,155000,1494,0.96,42.76,552,15500,749,43,150,7040677,2,1,1961,"MANUFACTURED"
439779559,"11 McClung St, Phil Campbell, AL 35581","Phil Campbell",AL,85000,819,0.96,31.38,222,8500,411,36,150,527083,2,1,1960,"SINGLE_FAMILY"
242809964,"308 Coffee St, Dequincy, LA 70633","Dequincy",LA,124500,1293,1.04,46.98,487,12450,602,54,150,SWL25102386,3,2,2002,"SINGLE_FAMILY"
42253899,"984 E Raines Rd, Memphis, TN 38116","Memphis",TN,149900,1557,1.04,40.13,501,14990,724,182,150,10214832,4,2,1951,"SINGLE_FAMILY"
209869202,"53 Halcon Pl, Hot Springs, AR 71909","Hot Springs",AR,155000,1611,1.04,32.27,417,15500,749,79,150,26014219,3,2,1976,"TOWNHOUSE"
227333742,"116 Malcolm St, Ty Ty, GA 31795","Ty Ty",GA,118900,1236,1.04,50.67,502,11890,574,10,150,141268,3,2,2018,"MANUFACTURED"
442599480,"1118 Pinder Ln, Dequincy, LA 70633","Dequincy",LA,134500,1290,0.96,37.83,424,13450,650,66,150,SWL25102392,3,2,2002,"SINGLE_FAMILY"
457736026,"1009 Nicklaus Dr #1009, Suffolk, VA 23435","Suffolk",VA,235000,2248,0.96,20.92,410,23500,1135,188,200,10607872,2,3,2000,"CONDO"
27833596,"202 S Magnolia St, Highlands, TX 77562","Highlands",TX,179000,1712,0.96,41.51,619,17900,865,78,150,39132011,3,2,1955,"SINGLE_FAMILY"
76081869,"1678 Rose Hill Rd, Nauvoo, AL 35578","Nauvoo",AL,93000,971,1.04,42,325,9300,449,46,150,527732,3,2,1992,"SINGLE_FAMILY"
87242537,"11005 Graham Way, Paint Rock, TX 76866","Paint Rock",TX,98000,936,0.96,33.59,274,9800,473,28,150,200191,2,1,1980,"SINGLE_FAMILY"
2098987141,"1500 Hummingbird Ct APT 20, Pharr, TX 78577","Pharr",TX,147500,1408,0.95,21.87,269,14750,713,277,150,479466,2,3,2013,"TOWNHOUSE"
80304984,"4035 Apache Cir, Granbury, TX 76048","Granbury",TX,218000,2080,0.95,28.79,523,21800,1053,269,200,21212593,4,2,2004,"SINGLE_FAMILY"
27372870,"1921 E San Antonio Ave, El Paso, TX 79901","El Paso",TX,134000,1402,1.05,48.4,540,13400,647,64,150,927693,3,2,1912,"SINGLE_FAMILY"
1037461,"101 Livingston Ct, Bessemer, AL 35020","Bessemer",AL,117900,1234,1.05,42.53,418,11790,570,97,150,21435147,4,2,1950,"SINGLE_FAMILY"
351474791,"621 Plainview St, Clarendon, TX 79226","Clarendon",TX,155000,1477,0.95,33.46,432,15500,749,146,150,25-9238,2,2,2021,"SINGLE_FAMILY"
342062231,"123 Bluestem Dr, Elgin, TX 78621","Elgin",TX,202500,1927,0.95,24.92,420,20250,978,258,200,1703349,3,3,2024,"SINGLE_FAMILY"
73783487,"2669 New Orleans St, New Orleans, LA 70119","New Orleans",LA,293000,2788,0.95,36.19,884,29300,1416,289,200,2548600,3,2,1880,"SINGLE_FAMILY"
315238,"2004 Rice St, Little Rock, AR 72202","Little Rock",AR,140000,1332,0.95,37.25,435,14000,676,71,150,26008315,3,2,1950,"SINGLE_FAMILY"
87481219,"911 Elm St, Sweetwater, TX 79556","Sweetwater",TX,129900,1364,1.05,38.97,422,12990,628,165,150,21136516,2,2,0,"SINGLE_FAMILY"
70126109,"710 Prince Williams St, Reidsville, NC 27320","Reidsville",NC,109900,1154,1.05,48.17,441,10990,531,32,150,10081228,2,1,1935,"SINGLE_FAMILY"
1043217,"2928 6th Ave N, Bessemer, AL 35020","Bessemer",AL,125000,1186,0.95,33.67,351,12500,604,81,150,21433442,3,2,1948,"SINGLE_FAMILY"
235437440,"43 Yearling Ct, Ludowici, GA 31316","Ludowici",GA,289900,2749,0.95,35.05,847,28990,1401,302,200,165563,4,3,2015,"SINGLE_FAMILY"
23789907,"444 Pleasant St SW, Grand Rapids, MI 49503","Grand Rapids",MI,231700,2437,1.05,21.77,420,23170,1119,482,200,25042850,4,2,2025,"CONDO"
62562972,"9 Santa Fe Dr, Tuscola, TX 79562","Tuscola",TX,245000,2577,1.05,45.7,933,24500,1184,260,200,21172541,3,3,1979,"SINGLE_FAMILY"
11821355,"739 Baltimore St, Spartanburg, SC 29301","Spartanburg",SC,104000,1095,1.05,31.18,270,10400,502,172,150,333402,2,1,1966,"SINGLE_FAMILY"
101317013,"3008 W Flournoy St Unit 1, Chicago, IL 60612","Chicago",IL,232999,2205,0.95,29.55,574,23300,1126,105,200,11889674,3,2,2007,"CONDO"
458697011,"7325 Knollwood Dr, Little Rock, AR 72209","Little Rock",AR,92200,972,1.05,41.01,315,9220,445,61,150,25047657,3,1,1963,"SINGLE_FAMILY"
73692881,"2049 Tuskegee Dr, Marrero, LA 70072","Marrero",LA,200000,1891,0.95,37.81,630,20000,966,95,200,2551614,4,2,1979,"SINGLE_FAMILY"
73665140,"870 S 25th St, Louisville, KY 40211","Louisville",KY,150000,1418,0.95,39.92,499,15000,725,44,150,1691471,2,2,1925,"SINGLE_FAMILY"
210357477,"1712 S G St, Fort Smith, AR 72901","Fort Smith",AR,100000,945,0.95,33.27,277,10000,483,35,150,1329518,3,1,0,"SINGLE_FAMILY"
453183073,"117 Wrench Ln, Bainbridge, NY 13733","Bainbridge",NY,159500,1501,0.94,19.77,263,15950,771,318,150,R1613747,2,1,1992,"SINGLE_FAMILY"
50748315,"4822 George Saenz Ln, Brownsville, TX 78521","Brownsville",TX,149900,1588,1.06,47.86,598,14990,724,116,150,29768931,2,2,1973,"SINGLE_FAMILY"
84471967,"548 Elmira Ave, New Orleans, LA 70114","New Orleans",LA,299000,2812,0.94,45.92,1144,29900,1445,23,200,2529680,2,2,1934,"SINGLE_FAMILY"
87638439,"8700 Front Beach Rd Unit 8108, Panama City Beach, FL 32407","Panama City Beach",FL,385000,3620,0.94,38.17,1224,38500,1860,335,200,782672,4,5,2008,"SINGLE_FAMILY"
10300456,"2044 E Wishart St, Philadelphia, PA 19134","Philadelphia",PA,145000,1537,1.06,47.91,579,14500,701,108,150,PAPH2548026,3,1,1920,"TOWNHOUSE"
38614480,"100 228th St SE #19-B, Bothell, WA 98021","Bothell",WA,120000,1272,1.06,53.63,536,12000,580,6,150,2499764,2,1,1975,"MANUFACTURED"
299170149,"68860 Foley Dr, Twentynine Palms, CA 92277","Twentynine Palms",CA,195000,1832,0.94,41.54,675,19500,942,65,150,26675263,0,1,0,"SINGLE_FAMILY"
456443270,"23002 W 1/2 Ave #D15, Lancaster, CA 93536","Lancaster",CA,324000,3437,1.06,50.11,1353,32400,1565,319,200,SR25194114,4,3,1985,"SINGLE_FAMILY"
79801717,"23002 1/2 W Avenue D15, Lancaster, CA 93536","Lancaster",CA,324000,3437,1.06,57.86,1562,32400,1565,110,200,25006917,4,3,1985,"SINGLE_FAMILY"
76649708,"1233 Rainbow Dr, Cedar Falls, IA 50613","Cedar Falls",IA,154000,1634,1.06,33.39,429,15400,744,311,150,20260198,3,2,1917,"SINGLE_FAMILY"
107129581,"503 N Logan St, Spencer, NE 68777","Spencer",NE,187500,1760,0.94,42.77,668,18750,906,36,150,11540860,4,3,1910,"SINGLE_FAMILY"
2098987142,"1500 Hummingbird Ct APT 21, Pharr, TX 78577","Pharr",TX,150000,1408,0.94,20.16,252,15000,725,281,150,479469,2,3,2013,"TOWNHOUSE"
2098987149,"1500 Hummingbird Ct APT 15, Pharr, TX 78577","Pharr",TX,150000,1408,0.94,20.16,252,15000,725,281,150,479461,2,3,2013,"TOWNHOUSE"
2098997284,"1500 Hummingbird Ct APT 10, Pharr, TX 78577","Pharr",TX,150000,1408,0.94,20.16,252,15000,725,281,150,479450,2,3,2013,"TOWNHOUSE"
2098997362,"1500 Hummingbird Ct APT 9, Pharr, TX 78577","Pharr",TX,150000,1408,0.94,20.16,252,15000,725,281,150,479449,2,3,2013,"TOWNHOUSE"
2101500490,"1500 Hummingbird Ct APT 7, Pharr, TX 78577","Pharr",TX,150000,1408,0.94,20.16,252,15000,725,281,150,479446,2,3,2013,"TOWNHOUSE"
2101500492,"1500 Hummingbird Ct APT 4, Pharr, TX 78577","Pharr",TX,150000,1408,0.94,20.16,252,15000,725,281,150,479435,2,3,2013,"TOWNHOUSE"
448859862,"276 E Broadway St S #3, Salt Lake City, UT 84111","Salt Lake City",UT,169000,1586,0.94,18.64,262,16900,817,69,150,2131445,1,1,1910,"CONDO"
26254638,"422 Ellana Claire, San Antonio, TX 78225","San Antonio",TX,175000,1642,0.94,17.49,255,17500,845,391,150,1926203,3,2,1947,"SINGLE_FAMILY"
47348402,"2417 W Parker St, Lakeland, FL 33815","Lakeland",FL,119000,1116,0.94,36.17,359,11900,575,32,150,L4960260,3,1,1966,"MANUFACTURED"
904492,"1617 5th St NW, Birmingham, AL 35215","Birmingham",AL,135000,1436,1.06,50.71,570,13500,652,63,150,21447313,3,2,1960,"SINGLE_FAMILY"
441489914,"56 Pine Trak Unit 101E, Ocala, FL 34472","Ocala",FL,121900,1297,1.06,18.56,188,12190,589,165,150,TB8382044,2,2,1984,"CONDO"
2058160336,"604 Players Pl, Brookeland, TX 75931","Brookeland",TX,169999,1590,0.94,30.8,436,17000,821,147,150,65103600,1,2,0,"CONDO"
73596453,"1332 Olive St, Louisville, KY 40211","Louisville",KY,110000,1028,0.93,25.43,233,11000,531,113,150,1710777,2,1,0,"SINGLE_FAMILY"
174725501,"747 McClain Rd, Bessemer, AL 35023","Bessemer",AL,138000,1289,0.93,40.99,471,13800,667,1,150,21438726,0,0,0,"SINGLE_FAMILY"
200021272,"607 Buckwheat Dr, Laredo, TX 78046","Laredo",TX,119000,1110,0.93,38.28,380,11900,575,5,150,20260329,3,2,2007,"MANUFACTURED"
26132650,"2236 Schley, San Antonio, TX 78210","San Antonio",TX,139000,1296,0.93,19.89,230,13900,672,244,150,1877898,3,1,1962,"SINGLE_FAMILY"
26569183,"1840 Katy St, New Braunfels, TX 78130","New Braunfels",TX,130000,1392,1.07,39.4,427,13000,628,187,150,609238,3,2,1982,"SINGLE_FAMILY"
43941058,"5851 W 20th Ave APT 409, Hialeah, FL 33012","Hialeah",FL,330000,3066,0.93,18.04,496,33000,1594,322,200,A11940685,3,3,1983,"TOWNHOUSE"
35959116,"3955 Demooney Rd, Atlanta, GA 30349","Atlanta",GA,199000,1846,0.93,27.28,452,19900,961,282,150,7708678,3,3,1968,"SINGLE_FAMILY"
2067546010,"1056 N Edgemoor St, Wichita, KS 67208","Wichita",KS,159500,1479,0.93,29.91,398,15950,771,161,150,667519,2,2,1952,"SINGLE_FAMILY"
26274364,"654 ELLOR DR, San Antonio, TX 78228","San Antonio",TX,150999,1400,0.93,35.23,443,15100,730,77,150,1956511,3,1,1953,"SINGLE_FAMILY"
2095975562,"Tbd Ripple Brook Dr, Bastrop, TX 78602","Bastrop",TX,140000,1298,0.93,25.12,293,14000,676,179,150,6531824,0,0,0,"LOT"
43372159,"3711 Prescott St, Titusville, FL 32796","Titusville",FL,209900,1943,0.93,40.69,712,20990,1014,17,200,1072227,3,2,1988,"SINGLE_FAMILY"
2068424069,"854 Bentley Dr, Fairburn, GA 30213","Fairburn",GA,274900,2543,0.93,29.95,686,27490,1328,283,200,10620520,3,3,2021,"SINGLE_FAMILY"
74668873,"860 E Michigan Ave, Marshall, MI 49068","Marshall",MI,177000,1636,0.92,28.37,418,17700,855,212,150,26014755,2,2,1860,"SINGLE_FAMILY"
78826579,"1806 Wellington St, Greenville, TX 75401","Greenville",TX,159800,1477,0.92,17.65,235,15980,772,320,150,21149888,3,1,1940,"SINGLE_FAMILY"
88494165,"2962 Ewald Cir, Detroit, MI 48238","Detroit",MI,164800,1522,0.92,34.99,481,16480,796,95,150,20251045869,5,2,1943,"SINGLE_FAMILY"
1290641,"1048 N Mount St, Indianapolis, IN 46222","Indianapolis",IN,120000,1292,1.08,41.48,415,12000,580,147,150,22094108,2,1,1922,"SINGLE_FAMILY"
52079537,"2000 Bosque Blvd, Waco, TX 76707","Waco",TX,245000,2641,1.08,45.87,937,24500,1184,321,200,21128319,6,3,1914,"SINGLE_FAMILY"
82831601,"1917 Reveille Cir, Jacksonville, AR 72076","Jacksonville",AR,205000,1888,0.92,28.21,482,20500,990,216,200,26005070,3,2,2007,"SINGLE_FAMILY"
246186996,"502 Roosevelt Ave, Mountainair, NM 87036","Mountainair",NM,107500,990,0.92,34.29,307,10750,519,13,150,1087530,2,1,1950,"SINGLE_FAMILY"
49206041,"14408 Portland Avenue SW, Lakewood, WA 98498","Lakewood",WA,249995,2301,0.92,36.47,760,25000,1208,133,200,2505695,2,1,1970,"MANUFACTURED"
2054322354,"4743 Jennmar Way #56, New Pt Richey, FL 34652","New Pt Richey",FL,139000,1278,0.92,15.2,176,13900,672,200,150,U8239487,0,0,0,"LOT"
448311544,"306 N Front St E, Savoy, TX 75479","Savoy",TX,159900,1469,0.92,30.01,400,15990,773,147,150,21039316,3,2,1938,"SINGLE_FAMILY"
82770709,"12611 Fannin Pkwy, Tyler, TX 75708","Tyler",TX,125000,1352,1.08,48.98,510,12500,604,88,150,26000534,3,2,1999,"MANUFACTURED"
83348209,"4755 Maple Spring Court, Martinez, GA 30907","Martinez",GA,202000,1855,0.92,40.04,674,20200,976,5,200,550869,3,3,1982,"SINGLE_FAMILY"
