ZPID,Address,City,State,Price,Monthly Rent,Rent Ratio %,ROI %,Monthly Cash Flow,Bedrooms,Bathrooms,Year Built,MLS ID,Down Payment,Monthly Mortgage,Monthly Tax,Monthly Insurance
87230901,"614 S Pecan St, Henrietta, TX 76365","Henrietta",TX,92000,1313,1.43,58.11,445,2,2,1977,182526,9200,444,273,150
79801717,"23002 1/2 W Avenue D15, Lancaster, CA 93536","Lancaster",CA,324000,3437,1.06,57.86,1562,4,3,1985,25006917,32400,1565,110,200
447162473,"510 Tri-Lakes Road, Humansville, MO 65674","Humansville",MO,159900,1768,1.11,57.65,768,4,2,2024,60303793,15990,773,77,150
52767013,"4307 Jesenia St, San Juan, TX 78589","San Juan",TX,130000,1443,1.11,57.09,618,3,2,1983,488287,13000,628,46,150
18825172,"77 Mill Rd, Redway, CA 95560","Redway",CA,170000,1872,1.10,53.08,752,2,1,1970,270163,17000,821,149,150
26415773,"5318 Beryl Cv, San Antonio, TX 78242","San Antonio",TX,160000,1971,1.23,52.5,700,5,2,1979,1931007,16000,773,348,150
90755231,"507 W North St, Heber Springs, AR 72543","Heber Springs",AR,145000,1468,1.01,50.63,612,3,2,1971,26004992,14500,701,6,150
456443270,"23002 W 1/2 Ave #D15, Lancaster, CA 93536","Lancaster",CA,324000,3437,1.06,50.11,1353,4,3,1985,SR25194114,32400,1565,319,200
50748315,"4822 George Saenz Ln, Brownsville, TX 78521","Brownsville",TX,149900,1588,1.06,47.86,598,2,2,1973,29768931,14990,724,116,150
242809964,"308 Coffee St, Dequincy, LA 70633","Dequincy",LA,124500,1293,1.04,46.98,487,3,2,2002,SWL25102386,12450,602,54,150
45616939,"1160 Tapley Trl, Tallahassee, FL 32311","Tallahassee",FL,199900,2199,1.10,46.97,782,3,2,1981,394625,19990,966,301,150
52722984,"206 Commercial St, Edcouch, TX 78538","Edcouch",TX,99900,1200,1.20,45.75,381,3,2,2016,496415,9990,483,186,150
62562972,"9 Santa Fe Dr, Tuscola, TX 79562","Tuscola",TX,245000,2577,1.05,45.7,933,3,3,1979,21172541,24500,1184,260,200
109122169,"30 Sequoyah Ridge Rd, Cherokee Village, AR 72529","Cherokee Village",AR,139000,1347,0.97,44.71,518,3,2,1991,25035624,13900,672,8,150
74099260,"1417 Gerry Dr, Jackson, MI 49202","Jackson",MI,182500,1871,1.03,44.54,677,3,3,1970,26003692,18250,882,162,150
242826612,"406 W Velmer St, Dequincy, LA 70633","Dequincy",LA,124500,1253,1.01,44.41,461,3,2,2002,SWL25102389,12450,602,41,150
442584583,"310 Coffee St, Dequincy, LA 70633","Dequincy",LA,124500,1268,1.02,43.88,455,3,2,2002,SWL25102379,12450,602,61,150
28670435,"302 E Gertrude St, Crandall, TX 75114","Crandall",TX,119900,1527,1.27,43.53,435,2,1,1980,21162926,11990,579,363,150
104255489,"2439 Seameadows Dr, Perry, FL 32348","Perry",FL,138900,1429,1.03,43.04,498,2,1,2022,384129,13890,671,110,150
76081869,"1678 Rose Hill Rd, Nauvoo, AL 35578","Nauvoo",AL,93000,971,1.04,42,325,3,2,1992,527732,9300,449,46,150
442585690,"1114 Pinder Ln, Dequincy, LA 70633","Dequincy",LA,134500,1329,0.99,41.31,463,3,2,2002,SWL25102391,13450,650,66,150
442599924,"1112 Pinder Ln, Dequincy, LA 70633","Dequincy",LA,134500,1327,0.99,41.13,461,3,2,2002,SWL25102390,13450,650,66,150
50700212,"1524 Morton St, Brownsville, TX 78521","Brownsville",TX,154900,1552,1.00,41.04,530,3,2,1971,29762972,15490,748,124,150
43372159,"3711 Prescott St, Titusville, FL 32796","Titusville",FL,209900,1943,0.93,40.69,712,3,2,1988,1072227,20990,1014,17,200
83348209,"4755 Maple Spring Court, Martinez, GA 30907","Martinez",GA,202000,1855,0.92,40.04,674,3,3,1982,550869,20200,976,5,200
245947576,"4709 Jonathan Edwards Ct, Mission, TX 78574","Mission",TX,180000,2034,1.13,39.49,592,4,3,2014,497459,18000,870,422,150
26569183,"1840 Katy St, New Braunfels, TX 78130","New Braunfels",TX,130000,1392,1.07,39.4,427,3,2,1982,609238,13000,628,187,150
338035763,"2020 Wooley Way, Seagoville, TX 75159","Seagoville",TX,237500,2361,0.99,38.4,760,4,4,2020,21149038,23750,1147,223,200
87638439,"8700 Front Beach Rd Unit 8108, Panama City Beach, FL 32407","Panama City Beach",FL,385000,3620,0.94,38.17,1224,4,5,2008,782672,38500,1860,335,200
442599480,"1118 Pinder Ln, Dequincy, LA 70633","Dequincy",LA,134500,1290,0.96,37.83,424,3,2,2002,SWL25102392,13450,650,66,150
73692881,"2049 Tuskegee Dr, Marrero, LA 70072","Marrero",LA,200000,1891,0.95,37.81,630,4,2,1979,2551614,20000,966,95,200
94188164,"102 Utah St, Portsmouth, VA 23701","Portsmouth",VA,269000,2727,1.01,37.41,839,3,3,2008,10612841,26900,1300,389,200
225812438,"624 Sandy Beach Court, Warrens, WI 54666","Warrens",WI,184900,1833,0.99,36.91,569,3,2,2004,2019963,18490,893,221,150
225812439,"622 Sandy Beach Court, Warrens, WI 54666","Warrens",WI,184900,1833,0.99,36.77,567,3,2,2004,2019962,18490,893,223,150
225812440,"620 Sandy Beach Court, Warrens, WI 54666","Warrens",WI,184900,1833,0.99,36.77,567,3,2,2004,2019961,18490,893,223,150
225812442,"614 Sandy Beach Court, Warrens, WI 54666","Warrens",WI,184900,1833,0.99,36.77,567,3,2,2004,2019959,18490,893,223,150
2053065396,"1306 Fancher St, Vinton, LA 70668","Vinton",LA,149900,1329,0.89,35.45,443,2,2,2023,SWL24000491,14990,724,12,150
235437440,"43 Yearling Ct, Ludowici, GA 31316","Ludowici",GA,289900,2749,0.95,35.05,847,4,3,2015,165563,28990,1401,302,200
23790846,"125 Hall St, Grand Rapids, MI 49507","Grand Rapids",MI,240000,2053,0.86,33.68,674,3,2,2025,25047090,24000,1160,20,200
87242537,"11005 Graham Way, Paint Rock, TX 76866","Paint Rock",TX,98000,936,0.96,33.59,274,2,1,1980,200191,9800,473,28,150
351474791,"621 Plainview St, Clarendon, TX 79226","Clarendon",TX,155000,1477,0.95,33.46,432,2,2,2021,25-9238,15500,749,146,150
338734949,"322 Rushing Rd, Denham Springs, LA 70726","Denham Springs",LA,300000,2607,0.87,32.67,817,4,2,1995,2534645,30000,1449,141,200
80299890,"5711 Flint Dr, Granbury, TX 76048","Granbury",TX,219000,1848,0.84,30.93,564,3,2,2004,21221008,21900,1058,23,200
50806056,"3103 SW 27th Ave, Amarillo, TX 79109","Amarillo",TX,169900,1670,0.98,30.35,430,2,2,1978,26-2999,16990,821,269,150
2068424069,"854 Bentley Dr, Fairburn, GA 30213","Fairburn",GA,274900,2543,0.93,29.95,686,3,3,2021,10620520,27490,1328,283,200
26380803,"13614 Primwood, San Antonio, TX 78233","San Antonio",TX,179900,1779,0.99,29.8,447,3,2,1980,1927300,17990,869,313,150
2064212743,"5184 Clarkston Grove Dr, Slidell, LA 70461","Slidell",LA,259900,2308,0.89,29.74,644,3,2,2022,2548423,25990,1256,158,200
80304984,"4035 Apache Cir, Granbury, TX 76048","Granbury",TX,218000,2080,0.95,28.79,523,4,2,2004,21212593,21800,1053,269,200
82831601,"1917 Reveille Cir, Jacksonville, AR 72076","Jacksonville",AR,205000,1888,0.92,28.21,482,3,2,2007,26005070,20500,990,216,200
104080650,"575 Dryden Cir, Cocoa, FL 32926","Cocoa",FL,279900,2818,1.01,27.89,651,4,3,2009,1070945,27990,1352,569,200
93886515,"517 14th St, Onawa, IA 51040","Onawa",IA,162500,1491,0.92,27.2,368,3,2,1975,832248,16250,785,188,150
457550130,"510 Don Ln, Itasca, TX 76055","Itasca",TX,239999,2018,0.84,26.85,537,3,2,2024,21179379,24000,1160,121,200
97588053,"2066 DRY CREEK, Canyon Lake, TX 78133","Canyon Lake",TX,259000,2332,0.90,26.25,566,2,3,2022,1949905,25900,1251,314,200
342062231,"123 Bluestem Dr, Elgin, TX 78621","Elgin",TX,202500,1927,0.95,24.92,420,3,3,2024,1703349,20250,978,258,200
91853071,"88 Hanson Road, China, ME 04358","China",ME,397500,3250,0.82,24.54,813,4,2,2008,1644487,39750,1920,317,200
193800794,"130 N Jab Dr, Zapata, TX 78076","Zapata",TX,350000,2907,0.83,24.53,716,6,3,1977,20260051,35000,1691,300,200
19023186,"2216 Sierra Way, Weldon, CA 93283","Weldon",CA,375000,2894,0.77,23.7,741,3,2,1996,2606698,37500,1812,142,200
338197184,"132 Spanish Oak, Bandera, TX 78003","Bandera",TX,209000,1635,0.78,23.49,409,3,3,2023,1864407,20900,1010,16,200
459960760,"703 Sun Land Cir, Dawson, TX 76639","Dawson",TX,180000,1562,0.87,22.86,343,3,2,2025,16310990,18000,870,200,150
77676681,"115 Breckenridge Loop, Lafayette, LA 70506","Lafayette",LA,275000,2300,0.84,22.77,522,3,3,1983,2500000218,27500,1329,225,200
52774148,"323 E 3rd St, San Juan, TX 78589","San Juan",TX,145000,1220,0.84,21.66,262,3,1,1977,488697,14500,701,108,150
75288046,"824 Calle Escondido, Eagle Pass, TX 78852","Eagle Pass",TX,199000,1493,0.75,21.5,356,3,3,1992,79669,19900,961,25,150
102511019,"237 Charles Rd., Marion, SC 29571","Marion",SC,129900,1051,0.81,21.33,231,2,2,1978,2601105,12990,628,43,150
42346296,"4999 Tradewind Ter, Memphis, TN 38118","Memphis",TN,174900,1445,0.83,20.81,303,3,3,1978,10214374,17490,845,147,150
45903956,"14342 SE 45th Ct, Summerfield, FL 34491","Summerfield",FL,299900,2341,0.78,20.79,520,4,3,1981,P4937617,29990,1449,172,200
40794283,"2507 Hendon Rd, Soddy Daisy, TN 37379","Soddy Daisy",TN,231000,1786,0.77,20.39,392,3,2,1990,1528378,23100,1116,78,200
458783208,"680-550 Butte Creek Rd, Adin, CA 96006","Adin",CA,257000,2093,0.81,20.21,433,2,2,1978,2906702,25700,1242,218,200
453183073,"117 Wrench Ln, Bainbridge, NY 13733","Bainbridge",NY,159500,1501,0.94,19.77,263,2,1,1992,R1613747,15950,771,318,150
461021964,"1133 Wisteria Dr #1, Tuscaloosa, AL 35405","Tuscaloosa",AL,214900,1702,0.79,19.6,351,3,2,1997,173937,21490,1038,63,200
43490491,"2808 Forest Dr, Melbourne, FL 32901","Melbourne",FL,299000,2364,0.79,19,473,3,2,1976,1069553,29900,1445,246,200
102893817,"8577 N 1175 E, Walkerton, IN 46574","Walkerton",IN,170000,1286,0.76,18.84,267,2,1,2008,834147,17000,821,48,150
380065,"21 Delavega Cir, Hot Springs Village, AR 71909","Hot Springs Village",AR,262000,2244,0.86,18.65,407,3,2,1990,26011928,26200,1266,255,200
28829906,"224 Spruce St, Corpus Christi, TX 78408","Corpus Christi",TX,235000,1705,0.73,18.59,364,3,2,2026,471533,23500,1135,6,200
125322973,"3147 Lake Lane Rd, Napier, WV 26631","Napier",WV,240000,1811,0.75,18.39,368,4,3,2006,10163768,24000,1160,84,200
116514225,"123 S 4th St, Bearcreek, MT 59007","Bearcreek",MT,254900,1861,0.73,18.22,387,3,2,1992,355768,25490,1232,42,200
75247541,"1002 Left Bank Dr, Florence, SC 29501","Florence",SC,325000,2361,0.73,18.09,490,3,3,1988,2601025,32500,1570,101,200
28829911,"211 Spruce St, Corpus Christi, TX 78408","Corpus Christi",TX,235000,1706,0.73,17.08,334,3,2,2026,471538,23500,1135,36,200
28829905,"220 Spruce St, Corpus Christi, TX 78408","Corpus Christi",TX,235000,1706,0.73,17,333,3,2,2026,471537,23500,1135,38,200
108841356,"13212 Mile 16 N, Edinburg, TX 78542","Edinburg",TX,205000,1605,0.78,16.98,290,3,2,2020,498254,20500,990,124,200
109811988,"3120 Stockwell Rd, Bossier City, LA 71111","Bossier City",LA,206500,1688,0.82,16.66,287,3,2,2001,21174208,20650,998,204,200
337151181,"4507 W Rogers Rd, Edinburg, TX 78541","Edinburg",TX,375000,2824,0.75,15.62,488,6,4,1989,494300,37500,1812,324,200
458055488,"3321 E Alexa St, Edinburg, TX 78542","Edinburg",TX,260000,1906,0.73,15.42,334,3,3,2025,498043,26000,1256,116,200
97557134,"845 Tee, Spring Branch, TX 78070","Spring Branch",TX,259638,1834,0.71,15.31,331,3,2,2025,1931119,25964,1254,48,200
110889698,"36766 Longleaf Dr, Independence, LA 70443","Independence",LA,175000,1267,0.72,15.18,221,3,1,1994,2544381,17500,845,50,150
